****************** i_j=a means j^a=i ******************

2: 1_2=18. 2_2=1. 3_2=13. 4_2=2. 5_2=16. 6_2=14. 7_2=6. 8_2=3. 9_2=8. 10_2=17. 11_2=12. 12_2=15. 13_2=5. 14_2=7. 15_2=11. 16_2=4. 17_2=10. 18_2=9. 

3: 1_3=18. 2_3=7. 3_3=1. 4_3=14. 5_3=4. 6_3=8. 7_3=6. 8_3=3. 9_3=2. 10_3=11. 11_3=12. 12_3=15. 13_3=17. 14_3=13. 15_3=5. 16_3=10. 17_3=16. 18_3=9. 

4: 1_4=9. 2_4=∅. 3_4=∅. 4_4=1. 5_4=8. 6_4=7. 7_4=3. 8_4=∅. 9_4=4. 10_4=∅. 11_4=6. 12_4=∅. 13_4=∅. 14_4=∅. 15_4=∅. 16_4=2. 17_4=5. 18_4=∅. 

5: 1_5=9. 2_5=∅. 3_5=∅. 4_5=8. 5_5=1. 6_5=2. 7_5=6. 8_5=∅. 9_5=5. 10_5=∅. 11_5=3. 12_5=∅. 13_5=∅. 14_5=∅. 15_5=∅. 16_5=7. 17_5=4. 18_5=∅. 

6: 1_6=9. 2_6=∅. 3_6=∅. 4_6=4. 5_6=5. 6_6=1. 7_6=3. 8_6=∅. 9_6=7. 10_6=∅. 11_6=6. 12_6=∅. 13_6=∅. 14_6=∅. 15_6=∅. 16_6=8. 17_6=2. 18_6=∅. 

7: 1_7=3. 2_7=∅. 3_7=∅. 4_7=∅. 5_7=∅. 6_7=∅. 7_7=1. 8_7=∅. 9_7=∅. 10_7=∅. 11_7=2. 12_7=∅. 13_7=∅. 14_7=∅. 15_7=∅. 16_7=∅. 17_7=∅. 18_7=∅. 

8: 1_8=6. 2_8=∅. 3_8=∅. 4_8=∅. 5_8=∅. 6_8=∅. 7_8=2. 8_8=1. 9_8=∅. 10_8=∅. 11_8=4. 12_8=5. 13_8=∅. 14_8=∅. 15_8=∅. 16_8=∅. 17_8=∅. 18_8=3. 

9: 1_9=9. 2_9=∅. 3_9=∅. 4_9=7. 5_9=2. 6_9=4. 7_9=3. 8_9=∅. 9_9=1. 10_9=∅. 11_9=6. 12_9=∅. 13_9=∅. 14_9=∅. 15_9=∅. 16_9=5. 17_9=8. 18_9=∅. 

10: 1_10=18. 2_10=17. 3_10=5. 4_10=16. 5_10=2. 6_10=4. 7_10=12. 8_10=15. 9_10=10. 10_10=1. 11_10=6. 12_10=3. 13_10=13. 14_10=11. 15_10=7. 16_10=14. 17_10=8. 18_10=9. 

11: 1_11=3. 2_11=∅. 3_11=∅. 4_11=∅. 5_11=∅. 6_11=∅. 7_11=2. 8_11=∅. 9_11=∅. 10_11=∅. 11_11=1. 12_11=∅. 13_11=∅. 14_11=∅. 15_11=∅. 16_11=∅. 17_11=∅. 18_11=∅. 

12: 1_12=6. 2_12=∅. 3_12=∅. 4_12=∅. 5_12=∅. 6_12=∅. 7_12=4. 8_12=5. 9_12=∅. 10_12=∅. 11_12=2. 12_12=1. 13_12=∅. 14_12=∅. 15_12=∅. 16_12=∅. 17_12=∅. 18_12=3. 

13: 1_13=18. 2_13=11. 3_13=17. 4_13=4. 5_13=14. 6_13=10. 7_13=12. 8_13=15. 9_13=16. 10_13=7. 11_13=6. 12_13=3. 13_13=1. 14_13=5. 15_13=13. 16_13=8. 17_13=2. 18_13=9. 

14: 1_14=18. 2_14=13. 3_14=7. 4_14=8. 5_14=10. 6_14=2. 7_14=6. 8_14=3. 9_14=14. 10_14=5. 11_14=12. 12_14=15. 13_14=11. 14_14=1. 15_14=17. 16_14=16. 17_14=4. 18_14=9. 

15: 1_15=18. 2_15=5. 3_15=11. 4_15=10. 5_15=8. 6_15=16. 7_15=12. 8_15=15. 9_15=4. 10_15=13. 11_15=6. 12_15=3. 13_15=7. 14_15=17. 15_15=1. 16_15=2. 17_15=14. 18_15=9. 

16: 1_16=9. 2_16=∅. 3_16=∅. 4_16=5. 5_16=4. 6_16=8. 7_16=6. 8_16=∅. 9_16=2. 10_16=∅. 11_16=3. 12_16=∅. 13_16=∅. 14_16=∅. 15_16=∅. 16_16=1. 17_16=7. 18_16=∅. 

17: 1_17=9. 2_17=∅. 3_17=∅. 4_17=2. 5_17=7. 6_17=5. 7_17=6. 8_17=∅. 9_17=8. 10_17=∅. 11_17=3. 12_17=∅. 13_17=∅. 14_17=∅. 15_17=∅. 16_17=4. 17_17=1. 18_17=∅. 

18: 1_18=2. 2_18=∅. 3_18=∅. 4_18=∅. 5_18=∅. 6_18=∅. 7_18=∅. 8_18=∅. 9_18=∅. 10_18=∅. 11_18=∅. 12_18=∅. 13_18=∅. 14_18=∅. 15_18=∅. 16_18=∅. 17_18=∅. 18_18=1. 
